Index    FREQ              Vmain             VMain2     
446      7.79830111e+03    3.77508458e-01    3.68219448e-01
447      7.83429643e+03    3.77508636e-01    3.68219270e-01
448      7.87045790e+03    3.77508813e-01    3.68219093e-01
449      7.90678628e+03    3.77508988e-01    3.68218917e-01
450      7.94328235e+03    3.77509162e-01    3.68218743e-01
451      7.97994687e+03    3.77509335e-01    3.68218570e-01
452      8.01678063e+03    3.77509506e-01    3.68218399e-01
453      8.05378441e+03    3.77509676e-01    3.68218229e-01
454      8.09095899e+03    3.77509845e-01    3.68218060e-01
455      8.12830516e+03    3.77510012e-01    3.68217893e-01
456      8.16582371e+03    3.77510178e-01    3.68217726e-01
457      8.20351544e+03    3.77510343e-01    3.68217561e-01
458      8.24138115e+03    3.77510506e-01    3.68217398e-01
459      8.27942164e+03    3.77510669e-01    3.68217235e-01
460      8.31763771e+03    3.77510830e-01    3.68217074e-01
461      8.35603018e+03    3.77510989e-01    3.68216914e-01
462      8.39459987e+03    3.77511148e-01    3.68216756e-01
463      8.43334758e+03    3.77511305e-01    3.68216598e-01
464      8.47227414e+03    3.77511461e-01    3.68216442e-01
465      8.51138038e+03    3.77511616e-01    3.68216287e-01
466      8.55066713e+03    3.77511769e-01    3.68216134e-01
467      8.59013522e+03    3.77511921e-01    3.68215981e-01
468      8.62978548e+03    3.77512073e-01    3.68215830e-01
469      8.66961876e+03    3.77512222e-01    3.68215680e-01
470      8.70963590e+03    3.77512371e-01    3.68215531e-01
471      8.74983775e+03    3.77512519e-01    3.68215383e-01
472      8.79022517e+03    3.77512665e-01    3.68215237e-01
473      8.83079900e+03    3.77512810e-01    3.68215091e-01
474      8.87156012e+03    3.77512954e-01    3.68214947e-01
475      8.91250938e+03    3.77513097e-01    3.68214804e-01
476      8.95364766e+03    3.77513239e-01    3.68214662e-01
477      8.99497582e+03    3.77513380e-01    3.68214521e-01
478      9.03649474e+03    3.77513519e-01    3.68214382e-01
479      9.07820530e+03    3.77513657e-01    3.68214243e-01
